frame,class_true,class_pred
200,no_action,no_action
201,no_action,no_action
202,no_action,no_action
203,no_action,no_action
204,no_action,no_action
205,no_action,no_action
206,no_action,no_action
207,no_action,no_action
208,no_action,no_action
209,no_action,no_action
210,no_action,no_action
211,no_action,no_action
212,no_action,no_action
213,no_action,no_action
214,no_action,no_action
215,no_action,no_action
216,no_action,no_action
217,no_action,no_action
218,no_action,no_action
219,no_action,no_action
220,no_action,no_action
221,no_action,no_action
222,no_action,no_action
223,no_action,no_action
224,no_action,no_action
225,no_action,no_action
226,no_action,no_action
227,no_action,no_action
228,no_action,no_action
229,no_action,no_action
230,no_action,no_action
231,no_action,no_action
232,no_action,no_action
233,no_action,no_action
234,no_action,no_action
235,no_action,no_action
236,no_action,no_action
237,no_action,no_action
238,no_action,no_action
239,no_action,no_action
240,no_action,no_action
241,no_action,no_action
242,no_action,no_action
243,no_action,no_action
244,no_action,no_action
245,no_action,no_action
246,no_action,no_action
247,no_action,no_action
248,no_action,no_action
249,no_action,no_action
250,no_action,no_action
251,no_action,no_action
252,no_action,no_action
253,no_action,no_action
254,no_action,no_action
255,no_action,no_action
256,no_action,no_action
257,no_action,no_action
258,no_action,no_action
259,no_action,no_action
260,no_action,no_action
261,no_action,no_action
262,no_action,unfasten
263,no_action,unfasten
264,no_action,unfasten
265,no_action,unfasten
266,no_action,unfasten
267,no_action,unfasten
268,no_action,unfasten
269,no_action,unfasten
270,no_action,unfasten
271,no_action,unfasten
272,no_action,unfasten
273,no_action,unfasten
274,no_action,unfasten
275,no_action,unfasten
276,no_action,unfasten
277,no_action,unfasten
278,no_action,unfasten
279,no_action,unfasten
280,no_action,unfasten
281,no_action,unfasten
282,no_action,unfasten
283,no_action,unfasten
284,no_action,unfasten
285,no_action,unfasten
286,no_action,unfasten
287,no_action,unfasten
288,no_action,unfasten
289,no_action,unfasten
290,no_action,unfasten
291,no_action,unfasten
292,no_action,no_action
293,no_action,no_action
294,no_action,no_action
295,no_action,no_action
296,no_action,no_action
297,no_action,no_action
298,no_action,no_action
299,no_action,no_action
300,no_action,no_action
301,no_action,no_action
302,no_action,no_action
303,no_action,no_action
304,no_action,no_action
305,no_action,no_action
306,no_action,no_action
307,no_action,no_action
308,no_action,no_action
309,no_action,no_action
310,no_action,no_action
311,no_action,no_action
312,no_action,no_action
313,no_action,no_action
314,no_action,no_action
315,no_action,no_action
316,no_action,no_action
317,no_action,no_action
318,no_action,no_action
319,no_action,no_action
320,no_action,no_action
321,no_action,no_action
322,no_action,no_action
323,no_action,no_action
324,no_action,no_action
325,no_action,no_action
326,no_action,no_action
327,no_action,no_action
328,no_action,no_action
329,no_action,no_action
330,no_action,no_action
331,no_action,no_action
332,no_action,no_action
333,no_action,no_action
334,no_action,no_action
335,no_action,no_action
336,no_action,no_action
337,no_action,no_action
338,no_action,no_action
339,no_action,no_action
340,no_action,no_action
341,no_action,no_action
342,no_action,no_action
343,no_action,no_action
344,no_action,no_action
345,no_action,no_action
346,no_action,no_action
347,no_action,no_action
348,no_action,no_action
349,no_action,no_action
350,no_action,no_action
351,no_action,no_action
352,no_action,no_action
353,no_action,no_action
354,no_action,no_action
355,no_action,no_action
356,no_action,no_action
357,no_action,no_action
358,no_action,no_action
359,no_action,no_action
360,no_action,no_action
361,no_action,no_action
362,no_action,no_action
363,no_action,no_action
364,no_action,no_action
365,no_action,no_action
366,no_action,no_action
367,no_action,no_action
368,no_action,no_action
369,no_action,no_action
370,no_action,no_action
371,no_action,no_action
372,no_action,no_action
373,no_action,no_action
374,no_action,no_action
375,no_action,no_action
376,no_action,no_action
377,no_action,no_action
378,no_action,no_action
379,no_action,no_action
380,no_action,no_action
381,no_action,no_action
382,no_action,no_action
383,no_action,no_action
384,no_action,no_action
385,no_action,no_action
386,no_action,no_action
387,no_action,no_action
388,phone,no_action
389,phone,no_action
390,phone,no_action
391,phone,no_action
392,phone,no_action
393,phone,no_action
394,phone,no_action
395,phone,no_action
396,phone,no_action
397,phone,no_action
398,phone,no_action
399,phone,no_action
400,phone,no_action
401,phone,no_action
402,phone,no_action
403,phone,no_action
404,phone,no_action
405,phone,no_action
406,phone,no_action
407,phone,no_action
408,phone,no_action
409,phone,no_action
410,phone,no_action
411,phone,no_action
412,phone,no_action
413,phone,no_action
414,phone,no_action
415,phone,no_action
416,phone,no_action
417,phone,no_action
418,phone,no_action
419,phone,no_action
420,phone,no_action
421,phone,no_action
422,phone,no_action
423,phone,no_action
424,phone,no_action
425,phone,no_action
426,phone,no_action
427,phone,unfasten
428,phone,unfasten
429,phone,unfasten
430,phone,unfasten
431,phone,unfasten
432,phone,unfasten
433,phone,unfasten
434,phone,unfasten
435,phone,unfasten
436,phone,unfasten
437,phone,unfasten
438,phone,unfasten
439,phone,unfasten
440,phone,unfasten
441,phone,unfasten
442,phone,unfasten
