frame,class_true,class_pred
200,no_action,no_action
201,no_action,no_action
202,no_action,no_action
203,no_action,no_action
204,no_action,no_action
205,no_action,no_action
206,no_action,no_action
207,no_action,no_action
208,no_action,no_action
209,no_action,no_action
210,no_action,no_action
211,no_action,no_action
212,no_action,no_action
213,no_action,no_action
214,no_action,no_action
215,no_action,no_action
216,no_action,no_action
217,no_action,no_action
218,no_action,no_action
219,no_action,no_action
220,no_action,no_action
221,no_action,no_action
222,no_action,no_action
223,no_action,no_action
224,no_action,no_action
225,no_action,no_action
226,no_action,no_action
227,no_action,no_action
228,no_action,no_action
229,no_action,no_action
230,no_action,no_action
231,no_action,no_action
232,no_action,no_action
233,no_action,no_action
234,no_action,no_action
235,no_action,no_action
236,no_action,no_action
237,no_action,no_action
238,no_action,no_action
239,no_action,no_action
240,no_action,no_action
241,no_action,no_action
242,no_action,no_action
243,no_action,no_action
244,no_action,no_action
245,no_action,no_action
246,no_action,no_action
247,no_action,no_action
248,no_action,no_action
249,no_action,no_action
250,no_action,no_action
251,no_action,no_action
252,no_action,no_action
253,no_action,no_action
254,no_action,no_action
255,no_action,no_action
256,no_action,no_action
257,no_action,fasten
258,no_action,fasten
259,no_action,fasten
260,no_action,fasten
261,no_action,fasten
262,no_action,fasten
263,no_action,fasten
264,no_action,fasten
265,no_action,fasten
266,no_action,fasten
267,no_action,no_action
268,no_action,no_action
269,no_action,no_action
270,no_action,no_action
271,no_action,no_action
272,no_action,no_action
273,no_action,no_action
274,no_action,no_action
275,no_action,no_action
276,no_action,no_action
277,no_action,no_action
278,no_action,no_action
279,no_action,no_action
280,no_action,no_action
281,no_action,no_action
282,no_action,no_action
283,no_action,no_action
284,no_action,no_action
285,no_action,no_action
286,no_action,no_action
287,no_action,no_action
288,no_action,no_action
289,no_action,no_action
290,no_action,no_action
291,no_action,no_action
292,no_action,no_action
293,no_action,no_action
294,no_action,no_action
295,no_action,no_action
296,no_action,no_action
297,no_action,unfasten
298,no_action,unfasten
299,no_action,unfasten
300,no_action,unfasten
301,no_action,unfasten
302,no_action,unfasten
303,no_action,unfasten
304,no_action,unfasten
305,no_action,unfasten
306,no_action,unfasten
307,no_action,no_action
308,no_action,no_action
309,no_action,no_action
310,no_action,no_action
311,no_action,no_action
312,no_action,no_action
313,no_action,no_action
314,no_action,no_action
315,no_action,no_action
316,no_action,no_action
317,no_action,no_action
318,no_action,no_action
319,no_action,no_action
320,no_action,no_action
321,no_action,no_action
322,no_action,no_action
323,no_action,no_action
324,no_action,no_action
325,no_action,no_action
326,no_action,no_action
327,no_action,no_action
328,no_action,no_action
329,no_action,no_action
330,no_action,no_action
331,no_action,no_action
332,no_action,no_action
333,no_action,no_action
334,no_action,no_action
335,no_action,no_action
336,no_action,no_action
337,no_action,unfasten
338,no_action,unfasten
339,no_action,unfasten
340,no_action,unfasten
341,no_action,unfasten
342,no_action,unfasten
343,no_action,unfasten
344,no_action,unfasten
345,no_action,unfasten
346,no_action,unfasten
347,no_action,unfasten
348,no_action,unfasten
349,no_action,unfasten
350,no_action,unfasten
351,no_action,unfasten
352,no_action,unfasten
353,no_action,unfasten
354,no_action,unfasten
355,no_action,unfasten
356,no_action,unfasten
357,no_action,unfasten
358,no_action,unfasten
359,no_action,unfasten
360,no_action,unfasten
361,no_action,unfasten
362,no_action,unfasten
363,no_action,unfasten
364,no_action,unfasten
365,no_action,unfasten
366,no_action,unfasten
367,no_action,unfasten
368,no_action,unfasten
369,no_action,unfasten
370,no_action,unfasten
371,no_action,unfasten
372,no_action,unfasten
373,no_action,unfasten
374,no_action,unfasten
375,no_action,unfasten
376,no_action,unfasten
377,no_action,unfasten
378,no_action,unfasten
379,no_action,unfasten
380,no_action,unfasten
381,no_action,unfasten
382,no_action,unfasten
383,no_action,unfasten
384,no_action,unfasten
385,no_action,unfasten
386,no_action,unfasten
387,no_action,unfasten
388,phone,unfasten
389,phone,unfasten
390,phone,unfasten
391,phone,unfasten
392,phone,unfasten
393,phone,unfasten
394,phone,unfasten
395,phone,unfasten
396,phone,unfasten
397,phone,unfasten
398,phone,unfasten
399,phone,unfasten
400,phone,unfasten
401,phone,unfasten
402,phone,unfasten
403,phone,unfasten
404,phone,unfasten
405,phone,unfasten
406,phone,unfasten
407,phone,unfasten
408,phone,unfasten
409,phone,unfasten
410,phone,unfasten
411,phone,unfasten
412,phone,unfasten
413,phone,unfasten
414,phone,unfasten
415,phone,unfasten
416,phone,unfasten
417,phone,unfasten
418,phone,unfasten
419,phone,unfasten
420,phone,unfasten
421,phone,unfasten
422,phone,unfasten
423,phone,unfasten
424,phone,unfasten
425,phone,unfasten
426,phone,unfasten
427,phone,unfasten
428,phone,unfasten
429,phone,unfasten
430,phone,unfasten
431,phone,unfasten
432,phone,unfasten
433,phone,unfasten
434,phone,unfasten
435,phone,unfasten
